sku,total_sales,post_date,post_name,post_type,pays
15631,21,2019-02-21 16:19:41,boudignon-anjou-blanc-2018,product,GER
14775,0,2019-04-04 16:49:37,wemyss-malts-single-cask-scotch-whisky-choc-n-nut-pretzel-2001,product,GER
,10,2018-07-31 12:07:23,pierre-jean-villa-cote-rotie-fongeant-2017,product,GER
14844,3,2019-01-15 16:18:18,albert-boxler-pinot-gris-reserve-2016,product,GER
13073,0,2019-04-25 12:39:20,chateau-de-vaudieu-chateauneuf-du-pape-amiral-g-2015,product,GER
,,,,,GER
2534,2,2018-04-14 11:50:29,marcel-windholtz-eau-de-vie-de-fraise,product,GER
13032,2,2018-02-15 11:58:43,chateau-de-liquiere-faugeres-tucade-2015,product,IT
4679,0,2018-03-01 14:19:24,champagne-mailly-grand-cru-les-echansons-2007,product,IT
16540,2,2018-04-18 12:00:04,paul-ginglinger-riesling-grand-cru-pfersigberg-2018,product,IT
14508,0,2018-07-12 14:05:47,domaine-peyre-rose-marlene-n3-2008,product,IT
13127-1,0,2020-06-09 15:42:04,clos-du-mont-olivet-chateauneuf-du-pape-2007-2,product,IT
15533,24,2018-05-17 11:09:36,alain-graillot-crozes-hermitage-rouge-la-guiraude-2016,product,IT
15676,0,2018-02-13 09:24:04,ginglinger-gewurzt-wahlenbourg-2017,product,IT
14864,12,2018-02-27 13:33:54,i-fabbri-chianti-classico-lamole-2017,product,IT
13217,0,2018-02-13 11:58:08,zind-humbrecht-gewurzt-grand-cru-rangen-de-thann-clos-saint-urbain-2013,product,IT
13230,0,2018-03-22 11:40:06,cognac-frapin-chateau-de-fontpinot-xo-1-2,product,IT
15525,2,2018-04-17 15:18:53,pelle-menetou-salon-blanc-morogues-2018,product,IT
15338,0,2018-05-17 13:41:23,oratoire-saint-martin-cairanne-blanc-reserve-des-seigneurs-2018,product,IT
14099,0,2019-03-28 14:59:48,stephane-tissot-arbois-trousseau-singulier-2017,product,IT
14372,0,2018-04-13 16:03:28,alphonse-mellot-sancerre-rouge-la-moussiere-2014,product,IT
15136,3,2018-02-27 10:34:22,bulliat-beaujolais-villages-bibine-2018,product,IT
